poi_id_center,center_poi,context_poi
4c00297392a6c9280cc243e2,Automotive Shop,Music Venue
4c00297392a6c9280cc243e2,Automotive Shop,Subway
4c00297392a6c9280cc243e2,Automotive Shop,Student Center
4b9830a5f964a520c73235e3,Food & Drink Shop,Government Building
4b9830a5f964a520c73235e3,Food & Drink Shop,Ferry
4b9830a5f964a520c73235e3,Food & Drink Shop,Office
4b9830a5f964a520c73235e3,Food & Drink Shop,Market
4b9830a5f964a520c73235e3,Food & Drink Shop,Office
4b9830a5f964a520c73235e3,Food & Drink Shop,Music Venue
4b9830a5f964a520c73235e3,Food & Drink Shop,Subway
4b9830a5f964a520c73235e3,Food & Drink Shop,Student Center
4b9830a5f964a520c73235e3,Food & Drink Shop,Park
4ba8a9a9f964a5206ee539e3,Government Building,Ferry
4ba8a9a9f964a5206ee539e3,Government Building,Office
4ba8a9a9f964a5206ee539e3,Government Building,Food & Drink Shop
4ba8a9a9f964a5206ee539e3,Government Building,Market
4ba8a9a9f964a5206ee539e3,Government Building,Office
4ba8a9a9f964a5206ee539e3,Government Building,Music Venue
4ba8a9a9f964a5206ee539e3,Government Building,Subway
4ba8a9a9f964a5206ee539e3,Government Building,Student Center
4ba8a9a9f964a5206ee539e3,Government Building,Park
4ba8a9a9f964a5206ee539e3,Government Building,Road
4c955b3558d4b60c06d03129,Ferry,Office
4c955b3558d4b60c06d03129,Ferry,Food & Drink Shop
4c955b3558d4b60c06d03129,Ferry,Market
4c955b3558d4b60c06d03129,Ferry,Office
4c955b3558d4b60c06d03129,Ferry,Music Venue
4c955b3558d4b60c06d03129,Ferry,Subway
4c955b3558d4b60c06d03129,Ferry,Student Center
4c955b3558d4b60c06d03129,Ferry,Park
4c955b3558d4b60c06d03129,Ferry,Road
4c955b3558d4b60c06d03129,Ferry,Burger Joint
4ba0e0edf964a520138437e3,Office,Food & Drink Shop
4ba0e0edf964a520138437e3,Office,Market
4ba0e0edf964a520138437e3,Office,Music Venue
4ba0e0edf964a520138437e3,Office,Subway
4ba0e0edf964a520138437e3,Office,Student Center
4ba0e0edf964a520138437e3,Office,Park
4ba0e0edf964a520138437e3,Office,Road
4ba0e0edf964a520138437e3,Office,Burger Joint
4ba0e0edf964a520138437e3,Office,Bank
4c5ef77bfff99c74eda954d3,Food & Drink Shop,Office
4c5ef77bfff99c74eda954d3,Market,Office
4c5ef77bfff99c74eda954d3,Food & Drink Shop,Music Venue
4c5ef77bfff99c74eda954d3,Market,Music Venue
4c5ef77bfff99c74eda954d3,Food & Drink Shop,Subway
4c5ef77bfff99c74eda954d3,Market,Subway
4c5ef77bfff99c74eda954d3,Food & Drink Shop,Student Center
4c5ef77bfff99c74eda954d3,Market,Student Center
4c5ef77bfff99c74eda954d3,Food & Drink Shop,Park
4c5ef77bfff99c74eda954d3,Market,Park
4c5ef77bfff99c74eda954d3,Food & Drink Shop,Road
4c5ef77bfff99c74eda954d3,Market,Road
4c5ef77bfff99c74eda954d3,Food & Drink Shop,Burger Joint
4c5ef77bfff99c74eda954d3,Market,Burger Joint
4c5ef77bfff99c74eda954d3,Food & Drink Shop,Bank
4c5ef77bfff99c74eda954d3,Market,Bank
4c5ef77bfff99c74eda954d3,Food & Drink Shop,Coffee Shop
4c5ef77bfff99c74eda954d3,Market,Coffee Shop
4bcde547511f95210d62b5c7,Office,Music Venue
4bcde547511f95210d62b5c7,Office,Subway
4bcde547511f95210d62b5c7,Office,Student Center
4bcde547511f95210d62b5c7,Office,Park
4bcde547511f95210d62b5c7,Office,Road
4bcde547511f95210d62b5c7,Office,Burger Joint
4bcde547511f95210d62b5c7,Office,Bank
4bcde547511f95210d62b5c7,Office,Coffee Shop
4bcde547511f95210d62b5c7,Office,Clothing Store
3fd66200f964a52035e41ee3,Music Venue,Subway
3fd66200f964a52035e41ee3,Music Venue,Student Center
3fd66200f964a52035e41ee3,Music Venue,Park
3fd66200f964a52035e41ee3,Music Venue,Road
3fd66200f964a52035e41ee3,Music Venue,Burger Joint
3fd66200f964a52035e41ee3,Music Venue,Bank
3fd66200f964a52035e41ee3,Music Venue,Coffee Shop
3fd66200f964a52035e41ee3,Music Venue,Clothing Store
3fd66200f964a52035e41ee3,Music Venue,Neighborhood
3fd66200f964a52035e41ee3,Music Venue,City
4b3a8e5df964a520d86925e3,Subway,Student Center
4b3a8e5df964a520d86925e3,Subway,Park
4b3a8e5df964a520d86925e3,Subway,Road
4b3a8e5df964a520d86925e3,Subway,Burger Joint
4b3a8e5df964a520d86925e3,Subway,Bank
4b3a8e5df964a520d86925e3,Subway,Coffee Shop
4b3a8e5df964a520d86925e3,Subway,Clothing Store
4b3a8e5df964a520d86925e3,Subway,Neighborhood
4b3a8e5df964a520d86925e3,Subway,City
4b3a8e5df964a520d86925e3,Subway,Electronics Store
4b55ec3bf964a520aaf627e3,Student Center,Park
4b55ec3bf964a520aaf627e3,Student Center,Road
4b55ec3bf964a520aaf627e3,Student Center,Burger Joint
4b55ec3bf964a520aaf627e3,Student Center,Bank
4b55ec3bf964a520aaf627e3,Student Center,Coffee Shop
4b55ec3bf964a520aaf627e3,Student Center,Clothing Store
4b55ec3bf964a520aaf627e3,Student Center,Neighborhood
4b55ec3bf964a520aaf627e3,Student Center,City
4b55ec3bf964a520aaf627e3,Student Center,Electronics Store
4b55ec3bf964a520aaf627e3,Student Center,Ice Cream Shop
40b68100f964a5207d001fe3,Park,Road
40b68100f964a5207d001fe3,Park,Burger Joint
40b68100f964a5207d001fe3,Park,Bank
40b68100f964a5207d001fe3,Park,Coffee Shop
40b68100f964a5207d001fe3,Park,Clothing Store
40b68100f964a5207d001fe3,Park,Neighborhood
40b68100f964a5207d001fe3,Park,City
40b68100f964a5207d001fe3,Park,Electronics Store
40b68100f964a5207d001fe3,Park,Ice Cream Shop
40b68100f964a5207d001fe3,Park,Home (private)
4bf5cedf4d5f20a1833d98fe,Road,Burger Joint
4bf5cedf4d5f20a1833d98fe,Road,Bank
4bf5cedf4d5f20a1833d98fe,Road,Coffee Shop
4bf5cedf4d5f20a1833d98fe,Road,Clothing Store
4bf5cedf4d5f20a1833d98fe,Road,Neighborhood
4bf5cedf4d5f20a1833d98fe,Road,City
4bf5cedf4d5f20a1833d98fe,Road,Electronics Store
4bf5cedf4d5f20a1833d98fe,Road,Ice Cream Shop
4bf5cedf4d5f20a1833d98fe,Road,Home (private)
4bf5cedf4d5f20a1833d98fe,Road,Food & Drink Shop
40e74880f964a520150a1fe3,Burger Joint,Bank
40e74880f964a520150a1fe3,Burger Joint,Coffee Shop
40e74880f964a520150a1fe3,Burger Joint,Clothing Store
40e74880f964a520150a1fe3,Burger Joint,Neighborhood
40e74880f964a520150a1fe3,Burger Joint,City
40e74880f964a520150a1fe3,Burger Joint,Electronics Store
40e74880f964a520150a1fe3,Burger Joint,Ice Cream Shop
40e74880f964a520150a1fe3,Burger Joint,Home (private)
40e74880f964a520150a1fe3,Burger Joint,Food & Drink Shop
40e74880f964a520150a1fe3,Burger Joint,Subway
4ad607d3f964a520a10421e3,Bank,Coffee Shop
4ad607d3f964a520a10421e3,Bank,Clothing Store
4ad607d3f964a520a10421e3,Bank,Neighborhood
4ad607d3f964a520a10421e3,Bank,City
4ad607d3f964a520a10421e3,Bank,Electronics Store
4ad607d3f964a520a10421e3,Bank,Ice Cream Shop
4ad607d3f964a520a10421e3,Bank,Home (private)
4ad607d3f964a520a10421e3,Bank,Food & Drink Shop
4ad607d3f964a520a10421e3,Bank,Subway
4ad607d3f964a520a10421e3,Bank,Tattoo Parlor
49b15042f964a520d4521fe3,Coffee Shop,Clothing Store
49b15042f964a520d4521fe3,Coffee Shop,Neighborhood
49b15042f964a520d4521fe3,Coffee Shop,City
49b15042f964a520d4521fe3,Coffee Shop,Electronics Store
49b15042f964a520d4521fe3,Coffee Shop,Ice Cream Shop
49b15042f964a520d4521fe3,Coffee Shop,Home (private)
49b15042f964a520d4521fe3,Coffee Shop,Food & Drink Shop
49b15042f964a520d4521fe3,Coffee Shop,Subway
49b15042f964a520d4521fe3,Coffee Shop,Tattoo Parlor
49b15042f964a520d4521fe3,Coffee Shop,Deli / Bodega
4ca66eec5a1e952129d98ace,Clothing Store,Neighborhood
4ca66eec5a1e952129d98ace,Clothing Store,City
4ca66eec5a1e952129d98ace,Clothing Store,Electronics Store
4ca66eec5a1e952129d98ace,Clothing Store,Ice Cream Shop
4ca66eec5a1e952129d98ace,Clothing Store,Home (private)
4ca66eec5a1e952129d98ace,Clothing Store,Food & Drink Shop
4ca66eec5a1e952129d98ace,Clothing Store,Subway
4ca66eec5a1e952129d98ace,Clothing Store,Tattoo Parlor
4ca66eec5a1e952129d98ace,Clothing Store,Deli / Bodega
4ca66eec5a1e952129d98ace,Clothing Store,University
4c79b79381bca093e689fe14,Neighborhood,Electronics Store
4c79b79381bca093e689fe14,City,Electronics Store
4c79b79381bca093e689fe14,Neighborhood,Ice Cream Shop
4c79b79381bca093e689fe14,City,Ice Cream Shop
4c79b79381bca093e689fe14,Neighborhood,Home (private)
4c79b79381bca093e689fe14,City,Home (private)
4c79b79381bca093e689fe14,Neighborhood,Food & Drink Shop
4c79b79381bca093e689fe14,City,Food & Drink Shop
4c79b79381bca093e689fe14,Neighborhood,Subway
4c79b79381bca093e689fe14,City,Subway
4c79b79381bca093e689fe14,Neighborhood,Tattoo Parlor
4c79b79381bca093e689fe14,City,Tattoo Parlor
4c79b79381bca093e689fe14,Neighborhood,Deli / Bodega
4c79b79381bca093e689fe14,City,Deli / Bodega
4c79b79381bca093e689fe14,Neighborhood,University
4c79b79381bca093e689fe14,City,University
4c79b79381bca093e689fe14,Neighborhood,Bus Station
4c79b79381bca093e689fe14,City,Bus Station
447bf8f1f964a520ec331fe3,Electronics Store,Ice Cream Shop
447bf8f1f964a520ec331fe3,Electronics Store,Home (private)
447bf8f1f964a520ec331fe3,Electronics Store,Food & Drink Shop
447bf8f1f964a520ec331fe3,Electronics Store,Subway
447bf8f1f964a520ec331fe3,Electronics Store,Tattoo Parlor
447bf8f1f964a520ec331fe3,Electronics Store,Deli / Bodega
447bf8f1f964a520ec331fe3,Electronics Store,University
447bf8f1f964a520ec331fe3,Electronics Store,Bus Station
447bf8f1f964a520ec331fe3,Electronics Store,Light Rail
4dbdebed6e810768bf82ad95,Ice Cream Shop,Home (private)
4dbdebed6e810768bf82ad95,Ice Cream Shop,Food & Drink Shop
4dbdebed6e810768bf82ad95,Ice Cream Shop,Subway
4dbdebed6e810768bf82ad95,Ice Cream Shop,Tattoo Parlor
4dbdebed6e810768bf82ad95,Ice Cream Shop,Deli / Bodega
4dbdebed6e810768bf82ad95,Ice Cream Shop,University
4dbdebed6e810768bf82ad95,Ice Cream Shop,Bus Station
4dbdebed6e810768bf82ad95,Ice Cream Shop,Light Rail
4dbdebed6e810768bf82ad95,Ice Cream Shop,Mexican Restaurant
4e79392ce4cdb158f1cf4b75,Home (private),Food & Drink Shop
4e79392ce4cdb158f1cf4b75,Home (private),Subway
4e79392ce4cdb158f1cf4b75,Home (private),Tattoo Parlor
4e79392ce4cdb158f1cf4b75,Home (private),Deli / Bodega
4e79392ce4cdb158f1cf4b75,Home (private),University
4e79392ce4cdb158f1cf4b75,Home (private),Bus Station
4e79392ce4cdb158f1cf4b75,Home (private),Light Rail
4e79392ce4cdb158f1cf4b75,Home (private),Mexican Restaurant
4bdb4bf54b1f952169ac670b,Food & Drink Shop,Subway
4bdb4bf54b1f952169ac670b,Food & Drink Shop,Tattoo Parlor
4bdb4bf54b1f952169ac670b,Food & Drink Shop,Deli / Bodega
4bdb4bf54b1f952169ac670b,Food & Drink Shop,University
4bdb4bf54b1f952169ac670b,Food & Drink Shop,Bus Station
4bdb4bf54b1f952169ac670b,Food & Drink Shop,Light Rail
4bdb4bf54b1f952169ac670b,Food & Drink Shop,Mexican Restaurant
4bdb4bf54b1f952169ac670b,Food & Drink Shop,Home (private)
4bdb4bf54b1f952169ac670b,Food & Drink Shop,Office
4b093cd0f964a520db1423e3,Subway,Tattoo Parlor
4b093cd0f964a520db1423e3,Subway,Deli / Bodega
4b093cd0f964a520db1423e3,Subway,University
4b093cd0f964a520db1423e3,Subway,Bus Station
4b093cd0f964a520db1423e3,Subway,Light Rail
4b093cd0f964a520db1423e3,Subway,Mexican Restaurant
4b093cd0f964a520db1423e3,Subway,Home (private)
4b093cd0f964a520db1423e3,Subway,Office
4b093cd0f964a520db1423e3,Subway,Other Great Outdoors
4b093cd0f964a520db1423e3,Subway,City
4c17d9974ff90f47a9890d49,Tattoo Parlor,Deli / Bodega
4c17d9974ff90f47a9890d49,Tattoo Parlor,University
4c17d9974ff90f47a9890d49,Tattoo Parlor,Bus Station
4c17d9974ff90f47a9890d49,Tattoo Parlor,Light Rail
4c17d9974ff90f47a9890d49,Tattoo Parlor,Mexican Restaurant
4c17d9974ff90f47a9890d49,Tattoo Parlor,Home (private)
4c17d9974ff90f47a9890d49,Tattoo Parlor,Office
4c17d9974ff90f47a9890d49,Tattoo Parlor,Other Great Outdoors
4c17d9974ff90f47a9890d49,Tattoo Parlor,City
4c17d9974ff90f47a9890d49,Tattoo Parlor,Neighborhood
4ab11744f964a520046820e3,Deli / Bodega,University
4ab11744f964a520046820e3,Deli / Bodega,Bus Station
4ab11744f964a520046820e3,Deli / Bodega,Light Rail
4ab11744f964a520046820e3,Deli / Bodega,Mexican Restaurant
4ab11744f964a520046820e3,Deli / Bodega,Home (private)
4ab11744f964a520046820e3,Deli / Bodega,Office
4ab11744f964a520046820e3,Deli / Bodega,Other Great Outdoors
4ab11744f964a520046820e3,Deli / Bodega,City
4ab11744f964a520046820e3,Deli / Bodega,Neighborhood
4ab11744f964a520046820e3,Deli / Bodega,Light Rail
4b298573f964a52050a024e3,University,Bus Station
4b298573f964a52050a024e3,University,Light Rail
4b298573f964a52050a024e3,University,Mexican Restaurant
4b298573f964a52050a024e3,University,Home (private)
4b298573f964a52050a024e3,University,Office
4b298573f964a52050a024e3,University,Other Great Outdoors
4b298573f964a52050a024e3,University,City
4b298573f964a52050a024e3,University,Neighborhood
4b298573f964a52050a024e3,University,Light Rail
4b298573f964a52050a024e3,University,Office
4c1d0f98c09ed13ad4c5828e,Bus Station,Light Rail
4c1d0f98c09ed13ad4c5828e,Bus Station,Mexican Restaurant
4c1d0f98c09ed13ad4c5828e,Bus Station,Home (private)
4c1d0f98c09ed13ad4c5828e,Bus Station,Office
4c1d0f98c09ed13ad4c5828e,Bus Station,Other Great Outdoors
4c1d0f98c09ed13ad4c5828e,Bus Station,City
4c1d0f98c09ed13ad4c5828e,Bus Station,Neighborhood
4c1d0f98c09ed13ad4c5828e,Bus Station,Light Rail
4c1d0f98c09ed13ad4c5828e,Bus Station,Office
4c1d0f98c09ed13ad4c5828e,Bus Station,Office
4b7c9fe1f964a520559e2fe3,Light Rail,Mexican Restaurant
4b7c9fe1f964a520559e2fe3,Light Rail,Home (private)
4b7c9fe1f964a520559e2fe3,Light Rail,Office
4b7c9fe1f964a520559e2fe3,Light Rail,Other Great Outdoors
4b7c9fe1f964a520559e2fe3,Light Rail,City
4b7c9fe1f964a520559e2fe3,Light Rail,Neighborhood
4b7c9fe1f964a520559e2fe3,Light Rail,Office
4b7c9fe1f964a520559e2fe3,Light Rail,Office
4b7c9fe1f964a520559e2fe3,Light Rail,Ice Cream Shop
4a7a0832f964a5203ce81fe3,Mexican Restaurant,Home (private)
4a7a0832f964a5203ce81fe3,Mexican Restaurant,Office
4a7a0832f964a5203ce81fe3,Mexican Restaurant,Other Great Outdoors
4a7a0832f964a5203ce81fe3,Mexican Restaurant,City
4a7a0832f964a5203ce81fe3,Mexican Restaurant,Neighborhood
4a7a0832f964a5203ce81fe3,Mexican Restaurant,Light Rail
4a7a0832f964a5203ce81fe3,Mexican Restaurant,Office
4a7a0832f964a5203ce81fe3,Mexican Restaurant,Office
4a7a0832f964a5203ce81fe3,Mexican Restaurant,Ice Cream Shop
4a7a0832f964a5203ce81fe3,Mexican Restaurant,American Restaurant
4e5dbf1e1f6e3022a71c242b,Home (private),Office
4e5dbf1e1f6e3022a71c242b,Home (private),Other Great Outdoors
4e5dbf1e1f6e3022a71c242b,Home (private),City
4e5dbf1e1f6e3022a71c242b,Home (private),Neighborhood
4e5dbf1e1f6e3022a71c242b,Home (private),Light Rail
4e5dbf1e1f6e3022a71c242b,Home (private),Office
4e5dbf1e1f6e3022a71c242b,Home (private),Office
4e5dbf1e1f6e3022a71c242b,Home (private),Ice Cream Shop
4e5dbf1e1f6e3022a71c242b,Home (private),American Restaurant
4e5dbf1e1f6e3022a71c242b,Home (private),American Restaurant
4c56f9ad30d82d7f3cbcd862,Office,Other Great Outdoors
4c56f9ad30d82d7f3cbcd862,Office,City
4c56f9ad30d82d7f3cbcd862,Office,Neighborhood
4c56f9ad30d82d7f3cbcd862,Office,Light Rail
4c56f9ad30d82d7f3cbcd862,Office,Ice Cream Shop
4c56f9ad30d82d7f3cbcd862,Office,American Restaurant
4c56f9ad30d82d7f3cbcd862,Office,American Restaurant
4c56f9ad30d82d7f3cbcd862,Office,Coffee Shop
4d4de33cd6f3224bca73a1a6,Other Great Outdoors,Neighborhood
4d4de33cd6f3224bca73a1a6,City,Neighborhood
4d4de33cd6f3224bca73a1a6,Other Great Outdoors,Light Rail
4d4de33cd6f3224bca73a1a6,City,Light Rail
4d4de33cd6f3224bca73a1a6,Other Great Outdoors,Office
4d4de33cd6f3224bca73a1a6,City,Office
4d4de33cd6f3224bca73a1a6,Other Great Outdoors,Office
4d4de33cd6f3224bca73a1a6,City,Office
4d4de33cd6f3224bca73a1a6,Other Great Outdoors,Ice Cream Shop
4d4de33cd6f3224bca73a1a6,City,Ice Cream Shop
4d4de33cd6f3224bca73a1a6,Other Great Outdoors,American Restaurant
4d4de33cd6f3224bca73a1a6,City,American Restaurant
4d4de33cd6f3224bca73a1a6,Other Great Outdoors,American Restaurant
4d4de33cd6f3224bca73a1a6,City,American Restaurant
4d4de33cd6f3224bca73a1a6,Other Great Outdoors,Coffee Shop
4d4de33cd6f3224bca73a1a6,City,Coffee Shop
4d4de33cd6f3224bca73a1a6,Other Great Outdoors,Coffee Shop
4d4de33cd6f3224bca73a1a6,City,Coffee Shop
4c62bfd0e1621b8dfe232453,Neighborhood,Light Rail
4c62bfd0e1621b8dfe232453,Neighborhood,Office
4c62bfd0e1621b8dfe232453,Neighborhood,Office
4c62bfd0e1621b8dfe232453,Neighborhood,Ice Cream Shop
4c62bfd0e1621b8dfe232453,Neighborhood,American Restaurant
4c62bfd0e1621b8dfe232453,Neighborhood,American Restaurant
4c62bfd0e1621b8dfe232453,Neighborhood,Coffee Shop
4c62bfd0e1621b8dfe232453,Neighborhood,Coffee Shop
4c62bfd0e1621b8dfe232453,Neighborhood,Food & Drink Shop
4b8d2387f964a520dbe932e3,Light Rail,Office
4b8d2387f964a520dbe932e3,Light Rail,Office
4b8d2387f964a520dbe932e3,Light Rail,Ice Cream Shop
4b8d2387f964a520dbe932e3,Light Rail,American Restaurant
4b8d2387f964a520dbe932e3,Light Rail,American Restaurant
4b8d2387f964a520dbe932e3,Light Rail,Coffee Shop
4b8d2387f964a520dbe932e3,Light Rail,Coffee Shop
4b8d2387f964a520dbe932e3,Light Rail,Food & Drink Shop
4b8d2387f964a520dbe932e3,Light Rail,Food & Drink Shop
4c1a2bbf838020a1adc4e661,Office,Ice Cream Shop
4c1a2bbf838020a1adc4e661,Office,American Restaurant
4c1a2bbf838020a1adc4e661,Office,American Restaurant
4c1a2bbf838020a1adc4e661,Office,Coffee Shop
4c1a2bbf838020a1adc4e661,Office,Coffee Shop
4c1a2bbf838020a1adc4e661,Office,Food & Drink Shop
4c1a2bbf838020a1adc4e661,Office,Food & Drink Shop
4c1a2bbf838020a1adc4e661,Office,BBQ Joint
4af42a00f964a52055f021e3,Office,Ice Cream Shop
4af42a00f964a52055f021e3,Office,American Restaurant
4af42a00f964a52055f021e3,Office,American Restaurant
4af42a00f964a52055f021e3,Office,Coffee Shop
4af42a00f964a52055f021e3,Office,Coffee Shop
4af42a00f964a52055f021e3,Office,Food & Drink Shop
4af42a00f964a52055f021e3,Office,Food & Drink Shop
4af42a00f964a52055f021e3,Office,BBQ Joint
4af42a00f964a52055f021e3,Office,Other Nightlife
4b565676f964a520120c28e3,Ice Cream Shop,American Restaurant
4b565676f964a520120c28e3,Ice Cream Shop,American Restaurant
4b565676f964a520120c28e3,Ice Cream Shop,Coffee Shop
4b565676f964a520120c28e3,Ice Cream Shop,Coffee Shop
4b565676f964a520120c28e3,Ice Cream Shop,Food & Drink Shop
4b565676f964a520120c28e3,Ice Cream Shop,Food & Drink Shop
4b565676f964a520120c28e3,Ice Cream Shop,BBQ Joint
4b565676f964a520120c28e3,Ice Cream Shop,Other Nightlife
4b565676f964a520120c28e3,Ice Cream Shop,Neighborhood
4c3b49c54565e21eb775566a,American Restaurant,Coffee Shop
4c3b49c54565e21eb775566a,American Restaurant,Coffee Shop
4c3b49c54565e21eb775566a,American Restaurant,Food & Drink Shop
4c3b49c54565e21eb775566a,American Restaurant,Food & Drink Shop
4c3b49c54565e21eb775566a,American Restaurant,BBQ Joint
4c3b49c54565e21eb775566a,American Restaurant,Other Nightlife
4c3b49c54565e21eb775566a,American Restaurant,Neighborhood
4c3b49c54565e21eb775566a,American Restaurant,Home (private)
462a6065f964a520d9451fe3,American Restaurant,Coffee Shop
462a6065f964a520d9451fe3,American Restaurant,Coffee Shop
462a6065f964a520d9451fe3,American Restaurant,Food & Drink Shop
462a6065f964a520d9451fe3,American Restaurant,Food & Drink Shop
462a6065f964a520d9451fe3,American Restaurant,BBQ Joint
462a6065f964a520d9451fe3,American Restaurant,Other Nightlife
462a6065f964a520d9451fe3,American Restaurant,Neighborhood
462a6065f964a520d9451fe3,American Restaurant,Home (private)
462a6065f964a520d9451fe3,American Restaurant,Building
4a8ae51ef964a520c10a20e3,Coffee Shop,Food & Drink Shop
4a8ae51ef964a520c10a20e3,Coffee Shop,Food & Drink Shop
4a8ae51ef964a520c10a20e3,Coffee Shop,BBQ Joint
4a8ae51ef964a520c10a20e3,Coffee Shop,Other Nightlife
4a8ae51ef964a520c10a20e3,Coffee Shop,Neighborhood
4a8ae51ef964a520c10a20e3,Coffee Shop,Home (private)
4a8ae51ef964a520c10a20e3,Coffee Shop,Building
4a8ae51ef964a520c10a20e3,Coffee Shop,College Academic Building
45c76421f964a52066421fe3,Coffee Shop,Food & Drink Shop
45c76421f964a52066421fe3,Coffee Shop,Food & Drink Shop
45c76421f964a52066421fe3,Coffee Shop,BBQ Joint
45c76421f964a52066421fe3,Coffee Shop,Other Nightlife
45c76421f964a52066421fe3,Coffee Shop,Neighborhood
45c76421f964a52066421fe3,Coffee Shop,Home (private)
45c76421f964a52066421fe3,Coffee Shop,Building
45c76421f964a52066421fe3,Coffee Shop,College Academic Building
45c76421f964a52066421fe3,Coffee Shop,Home (private)
4cd1a3d601eaf04db979bf5d,Food & Drink Shop,BBQ Joint
4cd1a3d601eaf04db979bf5d,Food & Drink Shop,Other Nightlife
4cd1a3d601eaf04db979bf5d,Food & Drink Shop,Neighborhood
4cd1a3d601eaf04db979bf5d,Food & Drink Shop,Home (private)
4cd1a3d601eaf04db979bf5d,Food & Drink Shop,Building
4cd1a3d601eaf04db979bf5d,Food & Drink Shop,College Academic Building
4cd1a3d601eaf04db979bf5d,Food & Drink Shop,Home (private)
4cd1a3d601eaf04db979bf5d,Food & Drink Shop,Home (private)
4c3a1d102c8020a1f9d58d00,Food & Drink Shop,BBQ Joint
4c3a1d102c8020a1f9d58d00,Food & Drink Shop,Other Nightlife
4c3a1d102c8020a1f9d58d00,Food & Drink Shop,Neighborhood
4c3a1d102c8020a1f9d58d00,Food & Drink Shop,Home (private)
4c3a1d102c8020a1f9d58d00,Food & Drink Shop,Building
4c3a1d102c8020a1f9d58d00,Food & Drink Shop,College Academic Building
4c3a1d102c8020a1f9d58d00,Food & Drink Shop,Home (private)
4c3a1d102c8020a1f9d58d00,Food & Drink Shop,Home (private)
4c3a1d102c8020a1f9d58d00,Food & Drink Shop,Office
4bbfcfd3461576b0d4487932,BBQ Joint,Other Nightlife
4bbfcfd3461576b0d4487932,BBQ Joint,Neighborhood
